SYMBOL,CURRENT PRICE,INDUSTRY,PE,FORWARD PE,EPS,PEG,EPS ESTIMATE,RECOMMENDATION
KRKR,4.22,Miscellaneous,,,,N/A,,2
ACTG,3.89,Miscellaneous,NE,,-0.56,N/A,,1
ACN,201.55,Miscellaneous,26.28,26.81,7.67,2.68,7.36,1.75
AKAM,100.47,Miscellaneous,33.38,25.62,3.01,2.08,3.61,1.56
BABA,220.64,Miscellaneous,27.61,32.21,7.99,1.79,6.03,1
ALJJ,0.6688,Miscellaneous,NE,,-2,N/A,,
ADS,47.4,Miscellaneous,12.22,5.85,3.88,.94,16.39,2.27
ARTL,1.5,Miscellaneous,NE,,-1.61,N/A,,3
ARTLW,0.1401,Miscellaneous,,,,,,
ATKR,26.75,Miscellaneous,8.36,,3.20,N/A,,3
RILY,21.9,Miscellaneous,NE,,-1.21,N/A,,
RILYG,22.84,Miscellaneous,,,,,,
RILYH,23.1807,Miscellaneous,,,,,,
RILYI,23.09,Miscellaneous,,,,,,
RILYM,21.3,Miscellaneous,,,,,,
RILYN,21.53,Miscellaneous,,,,,,
RILYO,22.175,Miscellaneous,,,,,,
RILYP,21.8476,Miscellaneous,,,,,,
RILYZ,22.5,Miscellaneous,,,,,,
BTN,1.83,Miscellaneous,NE,,-0.44,N/A,,
BFAM,115.1,Miscellaneous,40.39,301.18,2.85,60.36,3.44,2
BR,123.33,Miscellaneous,34.74,25.39,3.55,.03,4.66,2.17
BSQR,1.5,Miscellaneous,NE,,-0.53,N/A,,
CAE,16.5,Miscellaneous,18.75,31.54,0.88,3.94,1,2.11
CAJ,21.01,Miscellaneous,21.44,21.88,0.98,21.88,1.06,3.75
CATM,23.57,Miscellaneous,21.62,43.28,1.09,.04,2.16,1.67
CASS,38.52,Miscellaneous,18.98,,2.03,N/A,,
CBAT,0.677,Miscellaneous,NE,,-0.36,N/A,,
CBZ,23.38,Miscellaneous,18.56,19.20,1.26,.02,1.27,1
CDK,41.27,Miscellaneous,825.4,14.57,0.05,.01,3.14,1.4
CCRC,4.96,Miscellaneous,,,,N/A,,
CREG,2.53,Miscellaneous,NE,,-78.60,N/A,,
CMPR,76.93,Miscellaneous,14.52,30.66,5.30,1.53,3.19,3
CLCT,32.91,Miscellaneous,27.2,,1.21,N/A,,
SCOR,3.35,Miscellaneous,NE,NE,-5.27,.00,-5.33,3
CNDT,2.525,Miscellaneous,NE,12.60,-8.03,.01,0.62,2.67
CSGP,710.68,Miscellaneous,86.14,87.32,8.25,.09,9.12,1.73
CRAI,36.87,Miscellaneous,13.26,13.26,2.78,1.02,3.01,2
CTEK,1.49,Miscellaneous,,,,N/A,,3
CELP,4.4,Miscellaneous,6.98,NE,0.63,-.01,0.88,1
DHX,2.55,Miscellaneous,31.88,27.78,0.08,1.85,0.24,1
DBD,5.97,Miscellaneous,NE,NE,-3.92,-.03,-0.14,2
APPS,10.38,Miscellaneous,69.2,27.32,0.15,.03,0.17,1.14
DLB,66.25,Miscellaneous,30.96,39.56,2.14,3.04,2.44,1.2
KODK,2.36,Miscellaneous,,,,N/A,,
EBAY,48.29,Miscellaneous,8.01,16.76,6.03,1.31,2.32,2.25
EBAYL,26.13,Miscellaneous,,,,,,
EEX,3.1,Miscellaneous,NE,NE,-9.06,-4.74,0.85,3
ENR,47.05,Miscellaneous,NE,16.81,-0.50,2.05,3,1.5
ENV,74.85,Miscellaneous,NE,60.38,-0.11,.06,1.21,1.8
ETSY,95.39,Miscellaneous,156.38,82.86,0.61,3.70,0.76,1.58
EVOP,23.84,Miscellaneous,NE,57.54,-0.25,.06,0.66,2.25
XELA,0.4959,Miscellaneous,NE,NE,-3.42,.00,,1
EXLS,61.93,Miscellaneous,28.41,32.55,2.18,3.96,2.43,2.73
FICO,421.9,Miscellaneous,54.93,86.00,7.68,.09,6.34,1.43
FTCH,15.34,Miscellaneous,NE,NE,-1.15,-.01,-1.21,1.67
FIS,135,Miscellaneous,259.62,25.73,0.52,1.92,5.61,1.42
FNJN,1.53,Miscellaneous,NE,2.35,-0.53,.00,-0.6,1
FVRR,66.75,Miscellaneous,NE,NE,-1.56,-.07,-1.18,1.88
